Series ID,Year,Period,Label,Value,12-Month % Change,12-Month_adjustment,Title,Extract_Date
CWURS49DSA0,2016,M02,2016 Feb,246.464,2.4,-0.036544891,"All items in Seattle-Tacoma-Bellevue, WA, urban wage earners and clerical workers, not seasonally adjusted","Jun 6, 2023 (2:16:56 PM)"
CWURS49DSA0,2016,M04,2016 Apr,249.396,2.6,,"All items in Seattle-Tacoma-Bellevue, WA, urban wage earners and clerical workers, not seasonally adjusted","Jun 6, 2023 (2:16:56 PM)"
CWURS49DSA0,2016,M06,2016 Jun,251.848,2,,"All items in Seattle-Tacoma-Bellevue, WA, urban wage earners and clerical workers, not seasonally adjusted","Jun 6, 2023 (2:16:56 PM)"
CWURS49DSA0,2016,M08,2016 Aug,252.393,2,,"All items in Seattle-Tacoma-Bellevue, WA, urban wage earners and clerical workers, not seasonally adjusted","Jun 6, 2023 (2:16:56 PM)"
CWURS49DSA0,2016,M10,2016 Oct,252.639,2.6,,"All items in Seattle-Tacoma-Bellevue, WA, urban wage earners and clerical workers, not seasonally adjusted","Jun 6, 2023 (2:16:56 PM)"
CWURS49DSA0,2016,M12,2016 Dec,252.286,2.5,,"All items in Seattle-Tacoma-Bellevue, WA, urban wage earners and clerical workers, not seasonally adjusted","Jun 6, 2023 (2:16:56 PM)"
CWURS49DSA0,2017,M02,2017 Feb,255.471,3.7,-0.035252534,"All items in Seattle-Tacoma-Bellevue, WA, urban wage earners and clerical workers, not seasonally adjusted","Jun 6, 2023 (2:16:56 PM)"
CWURS49DSA0,2017,M04,2017 Apr,257.648,3.3,,"All items in Seattle-Tacoma-Bellevue, WA, urban wage earners and clerical workers, not seasonally adjusted","Jun 6, 2023 (2:16:56 PM)"
CWURS49DSA0,2017,M06,2017 Jun,259.487,3,,"All items in Seattle-Tacoma-Bellevue, WA, urban wage earners and clerical workers, not seasonally adjusted","Jun 6, 2023 (2:16:56 PM)"
CWURS49DSA0,2017,M08,2017 Aug,259.528,2.8,,"All items in Seattle-Tacoma-Bellevue, WA, urban wage earners and clerical workers, not seasonally adjusted","Jun 6, 2023 (2:16:56 PM)"
CWURS49DSA0,2017,M10,2017 Oct,261.218,3.4,,"All items in Seattle-Tacoma-Bellevue, WA, urban wage earners and clerical workers, not seasonally adjusted","Jun 6, 2023 (2:16:56 PM)"
CWURS49DSA0,2017,M12,2017 Dec,262.485,4,,"All items in Seattle-Tacoma-Bellevue, WA, urban wage earners and clerical workers, not seasonally adjusted","Jun 6, 2023 (2:16:56 PM)"
CWURS49DSA0,2018,M02,2018 Feb,264.477,3.5,-0.024811231,"All items in Seattle-Tacoma-Bellevue, WA, urban wage earners and clerical workers, not seasonally adjusted","Jun 6, 2023 (2:16:56 PM)"
CWURS49DSA0,2018,M04,2018 Apr,266.72,3.5,,"All items in Seattle-Tacoma-Bellevue, WA, urban wage earners and clerical workers, not seasonally adjusted","Jun 6, 2023 (2:16:56 PM)"
CWURS49DSA0,2018,M06,2018 Jun,268.957,3.6,,"All items in Seattle-Tacoma-Bellevue, WA, urban wage earners and clerical workers, not seasonally adjusted","Jun 6, 2023 (2:16:56 PM)"
