fips2000,State,County,CBSASub,Areaname,fips2010,lim50_15p1,lim50_15p2,lim50_15p3,lim50_15p4,lim50_15p5,lim50_15p6,lim50_15p7,lim50_15p8,lim120_15p1,lim120_15p2,lim120_15p3,lim120_15p4,lim120_15p5,lim120_15p6,lim120_15p7,lim120_15p8,name
0100199999,1,1,METRO33860M33860,"Montgomery, AL MSA",0100199999,20800,23800,26750,29700,32100,34500,36850,39250,49900,57000,64150,71300,77000,82700,88400,94100,Autauga County
0100399999,1,3,NCNTY01003N01003,"Baldwin County, AL",0100399999,21150,24150,27150,30150,32600,35000,37400,39800,50650,57900,65100,72350,78150,83950,89750,95500,Baldwin County
0100599999,1,5,NCNTY01005N01005,"Barbour County, AL",0100599999,17000,19400,21850,24250,26200,28150,30100,32050,40750,46550,52400,58200,62850,67500,72150,76800,Barbour County
0100799999,1,7,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",0100799999,21900,25000,28150,31250,33750,36250,38750,41250,52500,60000,67500,75000,81000,87000,93000,99000,Bibb County
0100999999,1,9,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",0100999999,21900,25000,28150,31250,33750,36250,38750,41250,52500,60000,67500,75000,81000,87000,93000,99000,Blount County
0101199999,1,11,NCNTY01011N01011,"Bullock County, AL",0101199999,17000,19400,21850,24250,26200,28150,30100,32050,40750,46550,52400,58200,62850,67500,72150,76800,Bullock County
0101399999,1,13,NCNTY01013N01013,"Butler County, AL",0101399999,17000,19400,21850,24250,26200,28150,30100,32050,40750,46550,52400,58200,62850,67500,72150,76800,Butler County
0101599999,1,15,METRO11500M11500,"Anniston-Oxford, AL MSA",0101599999,17300,19800,22250,24700,26700,28700,30650,32650,41500,47400,53350,59300,64000,68750,73500,78250,Calhoun County
0101799999,1,17,NCNTY01017N01017,"Chambers County, AL",0101799999,17000,19400,21850,24250,26200,28150,30100,32050,40750,46550,52400,58200,62850,67500,72150,76800,Chambers County
0101999999,1,19,NCNTY01019N01019,"Cherokee County, AL",0101999999,17450,19950,22450,24900,26900,28900,30900,32900,41850,47800,53800,59750,64550,69300,74100,78900,Cherokee County
0102199999,1,21,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",0102199999,18800,21450,24150,26800,28950,31100,33250,35400,45000,51450,57900,64300,69450,74600,79750,84900,Chilton County
0102399999,1,23,NCNTY01023N01023,"Choctaw County, AL",0102399999,17000,19400,21850,24250,26200,28150,30100,32050,40750,46550,52400,58200,62850,67500,72150,76800,Choctaw County
0102599999,1,25,NCNTY01025N01025,"Clarke County, AL",0102599999,17000,19400,21850,24250,26200,28150,30100,32050,40750,46550,52400,58200,62850,67500,72150,76800,Clarke County
0102799999,1,27,NCNTY01027N01027,"Clay County, AL",0102799999,17000,19400,21850,24250,26200,28150,30100,32050,40750,46550,52400,58200,62850,67500,72150,76800,Clay County
0102999999,1,29,NCNTY01029N01029,"Cleburne County, AL",0102999999,17100,19550,22000,24400,26400,28350,30300,32250,41000,46850,52700,58550,63250,67950,72600,77300,Cleburne County
0103199999,1,31,NCNTY01031N01031,"Coffee County, AL",0103199999,21700,24800,27900,30950,33450,35950,38400,40900,52000,59400,66850,74300,80200,86150,92100,98050,Coffee County
0103399999,1,33,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",0103399999,19350,22100,24850,27600,29850,32050,34250,36450,46350,53000,59600,66250,71550,76850,82150,87450,Colbert County
