fips2010,State,County,cbsasub,areaname,fips2000,lim50_16p1,lim50_16p2,lim50_16p3,lim50_16p4,lim50_16p5,lim50_16p6,lim50_16p7,lim50_16p8,lim120_16p1,lim120_16p2,lim120_16p3,lim120_16p4,lim120_16p5,lim120_16p6,lim120_16p7,lim120_16p8,name
0100199999,1,1,METRO33860M33860,"Montgomery, AL MSA",0100199999,21150,24200,27200,30200,32650,35050,37450,39900,50750,58000,65250,72500,78300,84100,89900,95650,Autauga County
0100399999,1,3,METRO19300M19300,"Daphne-Fairhope-Foley, AL MSA",0100399999,21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,Baldwin County
0100599999,1,5,NCNTY01005N01005,"Barbour County, AL",0100599999,16250,18550,20850,23150,25050,26900,28750,30600,38900,44450,50000,55550,60000,64450,68900,73350,Barbour County
0100799999,1,7,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",0100799999,22400,25600,28800,32000,34600,37150,39700,42250,53750,61450,69100,76800,82950,89100,95250,101400,Bibb County
0100999999,1,9,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",0100999999,22400,25600,28800,32000,34600,37150,39700,42250,53750,61450,69100,76800,82950,89100,95250,101400,Blount County
0101199999,1,11,NCNTY01011N01011,"Bullock County, AL",0101199999,16250,18550,20850,23150,25050,26900,28750,30600,38900,44450,50000,55550,60000,64450,68900,73350,Bullock County
0101399999,1,13,NCNTY01013N01013,"Butler County, AL",0101399999,16250,18550,20850,23150,25050,26900,28750,30600,38900,44450,50000,55550,60000,64450,68900,73350,Butler County
0101599999,1,15,METRO11500M11500,"Anniston-Oxford-Jacksonville, AL MSA",0101599999,16450,18800,21150,23500,25400,27300,29150,31050,39500,45100,50750,56400,60900,65400,69950,74450,Calhoun County
0101799999,1,17,NCNTY01017N01017,"Chambers County, AL",0101799999,16250,18550,20850,23150,25050,26900,28750,30600,38900,44450,50000,55550,60000,64450,68900,73350,Chambers County
0101999999,1,19,NCNTY01019N01019,"Cherokee County, AL",0101999999,16600,19000,21350,23700,25600,27500,29400,31300,39800,45500,51200,56900,61450,66000,70550,75100,Cherokee County
0102199999,1,21,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",0102199999,18750,21400,24100,26750,28900,31050,33200,35350,44950,51350,57800,64200,69350,74450,79600,84750,Chilton County
0102399999,1,23,NCNTY01023N01023,"Choctaw County, AL",0102399999,16500,18850,21200,23550,25450,27350,29250,31100,39550,45200,50850,56500,61050,65550,70100,74600,Choctaw County
0102599999,1,25,NCNTY01025N01025,"Clarke County, AL",0102599999,16350,18700,21050,23350,25250,27100,29000,30850,39250,44850,50450,56050,60500,65000,69500,73950,Clarke County
0102799999,1,27,NCNTY01027N01027,"Clay County, AL",0102799999,16250,18550,20850,23150,25050,26900,28750,30600,38900,44450,50000,55550,60000,64450,68900,73350,Clay County
0102999999,1,29,NCNTY01029N01029,"Cleburne County, AL",0102999999,16600,18950,21300,23650,25550,27450,29350,31250,39750,45400,51100,56750,61300,65850,70400,74900,Cleburne County
