fips2010,State,County,cbsasub,areaname,lim50_19p1,lim50_19p2,lim50_19p3,lim50_19p4,lim50_19p5,lim50_19p6,lim50_19p7,lim50_19p8,lim120_19p1,lim120_19p2,lim120_19p3,lim120_19p4,lim120_19p5,lim120_19p6,lim120_19p7,lim120_19p8,fips2000,name
0100199999,1,1,METRO33860M33860,"Montgomery, AL MSA",23100,26400,29700,32950,35600,38250,40900,43500,55350,63250,71150,79100,85400,91750,98050,104400,0100199999,Autauga County
0100399999,1,3,METRO19300M19300,"Daphne-Fairhope-Foley, AL MSA",26400,30150,33900,37650,40700,43700,46700,49700,63250,72300,81300,90350,97600,104800,112050,119300,0100399999,Baldwin County
0100599999,1,5,NCNTY01005N01005,"Barbour County, AL",18050,20600,23200,25750,27850,29900,31950,34000,43250,49450,55600,61800,66750,71700,76650,81600,0100599999,Barbour County
0100799999,1,7,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",26050,29800,33500,37200,40200,43200,46150,49150,62500,71400,80350,89300,96400,103550,110700,117850,0100799999,Bibb County
0100999999,1,9,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",26050,29800,33500,37200,40200,43200,46150,49150,62500,71400,80350,89300,96400,103550,110700,117850,0100999999,Blount County
0101199999,1,11,NCNTY01011N01011,"Bullock County, AL",18050,20600,23200,25750,27850,29900,31950,34000,43250,49450,55600,61800,66750,71700,76650,81600,0101199999,Bullock County
0101399999,1,13,NCNTY01013N01013,"Butler County, AL",18050,20600,23200,25750,27850,29900,31950,34000,43250,49450,55600,61800,66750,71700,76650,81600,0101399999,Butler County
0101599999,1,15,METRO11500M11500,"Anniston-Oxford-Jacksonville, AL MSA",19700,22500,25300,28100,30350,32600,34850,37100,47200,53950,60700,67450,72850,78250,83650,89000,0101599999,Calhoun County
0101799999,1,17,NCNTY01017N01017,"Chambers County, AL",18050,20600,23200,25750,27850,29900,31950,34000,43250,49450,55600,61800,66750,71700,76650,81600,0101799999,Chambers County
0101999999,1,19,NCNTY01019N01019,"Cherokee County, AL",18050,20600,23200,25750,27850,29900,31950,34000,43250,49450,55600,61800,66750,71700,76650,81600,0101999999,Cherokee County
0102199999,1,21,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",19400,22150,24900,27650,29900,32100,34300,36500,46450,53100,59700,66350,71650,77000,82300,87600,0102199999,Chilton County
0102399999,1,23,NCNTY01023N01023,"Choctaw County, AL",18050,20600,23200,25750,27850,29900,31950,34000,43250,49450,55600,61800,66750,71700,76650,81600,0102399999,Choctaw County
0102599999,1,25,NCNTY01025N01025,"Clarke County, AL",18700,21400,24050,26700,28850,31000,33150,35250,44850,51250,57650,64100,69200,74350,79450,84600,0102599999,Clarke County
0102799999,1,27,NCNTY01027N01027,"Clay County, AL",18050,20600,23200,25750,27850,29900,31950,34000,43250,49450,55600,61800,66750,71700,76650,81600,0102799999,Clay County
0102999999,1,29,NCNTY01029N01029,"Cleburne County, AL",18550,21200,23850,26450,28600,30700,32800,34950,44450,50800,57150,63500,68550,73650,78700,83800,0102999999,Cleburne County
0103199999,1,31,NCNTY01031N01031,"Coffee County, AL",23100,26400,29700,32950,35600,38250,40900,43500,55350,63250,71150,79100,85400,91750,98050,104400,0103199999,Coffee County
0103399999,1,33,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",22150,25300,28450,31600,34150,36700,39200,41750,53100,60650,68250,75850,81900,87950,94050,100100,0103399999,Colbert County
0103599999,1,35,NCNTY01035N01035,"Conecuh County, AL",18050,20600,23200,25750,27850,29900,31950,34000,43250,49450,55600,61800,66750,71700,76650,81600,0103599999,Conecuh County
0103799999,1,37,NCNTY01037N01037,"Coosa County, AL",18050,20600,23200,25750,27850,29900,31950,34000,43250,49450,55600,61800,66750,71700,76650,81600,0103799999,Coosa County
0103999999,1,39,NCNTY01039N01039,"Covington County, AL",18550,21200,23850,26450,28600,30700,32800,34950,44450,50800,57150,63500,68550,73650,78700,83800,0103999999,Covington County
0104199999,1,41,NCNTY01041N01041,"Crenshaw County, AL",18700,21400,24050,26700,28850,31000,33150,35250,44850,51250,57650,64100,69200,74350,79450,84600,0104199999,Crenshaw County
0104399999,1,43,NCNTY01043N01043,"Cullman County, AL",18600,21250,23900,26550,28700,30800,32950,35050,44600,51000,57350,63700,68800,73900,79000,84100,0104399999,Cullman County
0104599999,1,45,NCNTY01045N01045,"Dale County, AL",20500,23400,26350,29250,31600,33950,36300,38650,49150,56150,63200,70200,75800,81450,87050,92650,0104599999,Dale County
0104799999,1,47,NCNTY01047N01047,"Dallas County, AL",18050,20600,23200,25750,27850,29900,31950,34000,43250,49450,55600,61800,66750,71700,76650,81600,0104799999,Dallas County
0104999999,1,49,NCNTY01049N01049,"DeKalb County, AL",18050,20600,23200,25750,27850,29900,31950,34000,43250,49450,55600,61800,66750,71700,76650,81600,0104999999,DeKalb County
0105199999,1,51,METRO33860M33860,"Montgomery, AL MSA",23100,26400,29700,32950,35600,38250,40900,43500,55350,63250,71150,79100,85400,91750,98050,104400,0105199999,Elmore County
0105399999,1,53,NCNTY01053N01053,"Escambia County, AL",18050,20600,23200,25750,27850,29900,31950,34000,43250,49450,55600,61800,66750,71700,76650,81600,0105399999,Escambia County
0105599999,1,55,METRO23460M23460,"Gadsden, AL MSA",20000,22850,25700,28550,30850,33150,35450,37700,47950,54800,61650,68500,74000,79500,84950,90450,0105599999,Etowah County
0105799999,1,57,NCNTY01057N01057,"Fayette County, AL",18050,20600,23200,25750,27850,29900,31950,34000,43250,49450,55600,61800,66750,71700,76650,81600,0105799999,Fayette County
0105999999,1,59,NCNTY01059N01059,"Franklin County, AL",18050,20600,23200,25750,27850,29900,31950,34000,43250,49450,55600,61800,66750,71700,76650,81600,0105999999,Franklin County
