adults,children,living_wage_2023,BLS_adj_2022,living_wage_2022,BLS_adj_2021,living_wage_2021,BLS_adj_2020,living_wage_2020,BLS_adj_2019,living_wage_2019,BLS_adj_2018,living_wage_2018,BLS_adj_2017,living_wage_2017,BLS_adj_2016,living_wage_2016
1 adult,0 Children,22.77,-0.074952078,21.0633412,-0.081002139,19.3571655,-0.016951895,19.02902485,-0.025981501,18.53462223,-0.024811231,18.07475543,-0.035252534,17.43757451,-0.036544891,16.80032025
1 adult,1 Child,43.01,-0.074952078,39.78631115,-0.081002139,36.56353483,-0.016951895,35.94371361,-0.025981501,35.00984199,-0.024811231,34.1412047,-0.035252534,32.93764074,-0.036544891,31.73393825
1 adult,2 Children,55.43,-0.074952078,51.27540634,-0.081002139,47.12198873,-0.016951895,46.32318171,-0.025981501,45.11963593,-0.024811231,44.00016221,-0.035252534,42.44904502,-0.036544891,40.89774929
1 adult,3 Children,74.56,-0.074952078,68.9715731,-0.081002139,63.38472812,-0.016951895,62.31023685,-0.025981501,60.69132338,-0.024811231,59.18549692,-0.035252534,57.09905821,-0.036544891,55.01237935
2 adults (1 working),0 Children,32.88,-0.074952078,30.41557569,-0.081002139,27.95184899,-0.016951895,27.47801217,-0.025981501,26.76409218,-0.024811231,26.1000421,-0.035252534,25.17994949,-0.036544891,24.25975098
2 adults (1 working),1 Child,40.12,-0.074952078,37.11292265,-0.081002139,34.10669652,-0.016951895,33.52852337,-0.025981501,32.65740201,-0.024811231,31.84713166,-0.035252534,30.72443958,-0.036544891,29.60161829
2 adults (1 working),2 Children,45.11,-0.074952078,41.72891178,-0.081002139,38.34878066,-0.016951895,37.69869614,-0.025981501,36.71922744,-0.024811231,35.80817819,-0.035252534,34.54584919,-0.036544891,33.2833749
2 adults (1 working),3 Children,52.5,-0.074952078,48.56501593,-0.081002139,44.63114574,-0.016951895,43.87456323,-0.025981501,42.73463623,-0.024811231,41.67433729,-0.035252534,40.20521132,-0.036544891,38.73591625
2 adults (both working),0 Children,16.44,-0.074952078,15.20778785,-0.081002139,13.9759245,-0.016951895,13.73900609,-0.025981501,13.38204609,-0.024811231,13.05002105,-0.035252534,12.58997474,-0.036544891,12.12987549
2 adults (both working),1 Child,23.57,-0.074952078,21.80337953,-0.081002139,20.03725915,-0.016951895,19.69758963,-0.025981501,19.18581669,-0.024811231,18.70979295,-0.035252534,18.05022535,-0.036544891,17.39058183
2 adults (both working),2 Children,29.57,-0.074952078,27.35366707,-0.081002139,25.13796152,-0.016951895,24.71182542,-0.025981501,24.06977511,-0.024811231,23.47257436,-0.035252534,22.64510664,-0.036544891,21.81754369
2 adults (both working),3 Children,37.28,-0.074952078,34.48578655,-0.081002139,31.69236406,-0.016951895,31.15511842,-0.025981501,30.34566169,-0.024811231,29.59274846,-0.035252534,28.5495291,-0.036544891,27.50618968
