State_Alpha,County_Name,fips2010,state,county,metro,cbsasub,median2022,Metro_Area_Name,county_town_name,l30_1,l30_2,l30_3,l30_4,l30_5,l30_6,l30_7,l30_8,notes
WA,Adams County,5300199999,53,1,0,NCNTY53001N53001,62700,"Adams County, WA",Adams County,16600,18950,21300,23650,25550,27450,29350,31250,"downloaded 12 May 2022, https://www.huduser.gov/portal/datasets/il/il22/HUD-IL-NPG-FY22.xlsx"
WA,Asotin County,5300399999,53,3,1,METRO30300M30300,80800,"Lewiston, ID-WA MSA",Asotin County,16800,19200,21600,24000,25950,27850,29800,31700,
WA,Benton County,5300599999,53,5,1,METRO28420M28420,87500,"Kennewick-Richland, WA MSA",Benton County,18350,21000,23600,26200,28300,30400,32500,34600,
WA,Chelan County,5300799999,53,7,1,METRO48300M48300,78800,"Wenatchee, WA MSA",Chelan County,16750,19150,21550,23900,25850,27750,29650,31550,
WA,Clallam County,5300999999,53,9,0,NCNTY53009N53009,74300,"Clallam County, WA",Clallam County,16600,18950,21300,23650,25550,27450,29350,31250,
WA,Clark County,5301199999,53,11,1,METRO38900M38900,106500,"Portland-Vancouver-Hillsboro, OR-WA MSA",Clark County,22400,25600,28800,31950,34550,37100,39650,42200,
WA,Columbia County,5301399999,53,13,0,NCNTY53013N53013,94500,"Columbia County, WA",Columbia County,16600,18950,21300,23650,25550,27450,29350,31250,
WA,Cowlitz County,5301599999,53,15,1,METRO31020M31020,75100,"Longview, WA MSA",Cowlitz County,16750,19150,21550,23900,25850,27750,29650,31550,
WA,Douglas County,5301799999,53,17,1,METRO48300M48300,78800,"Wenatchee, WA MSA",Douglas County,16750,19150,21550,23900,25850,27750,29650,31550,
WA,Ferry County,5301999999,53,19,0,NCNTY53019N53019,63200,"Ferry County, WA",Ferry County,16600,18950,21300,23650,25550,27450,29350,31250,
WA,Franklin County,5302199999,53,21,1,METRO28420M28420,87500,"Kennewick-Richland, WA MSA",Franklin County,18350,21000,23600,26200,28300,30400,32500,34600,
WA,Garfield County,5302399999,53,23,0,NCNTY53023N53023,78100,"Garfield County, WA",Garfield County,16600,18950,21300,23650,25550,27450,29350,31250,
WA,Grant County,5302599999,53,25,0,NCNTY53025N53025,67900,"Grant County, WA",Grant County,16750,19150,21550,23900,25850,27750,29650,31550,
WA,Grays Harbor County,5302799999,53,27,0,NCNTY53027N53027,83000,"Grays Harbor County, WA",Grays Harbor County,16600,18950,21300,23650,25550,27450,29350,31250,
WA,Island County,5302999999,53,29,0,NCNTY53029N53029,89300,"Island County, WA",Island County,18750,21400,24100,26750,28900,31050,33200,35350,
WA,Jefferson County,5303199999,53,31,0,NCNTY53031N53031,73900,"Jefferson County, WA",Jefferson County,16750,19150,21550,23900,25850,27750,29650,31550,
WA,King County,5303399999,53,33,1,METRO42660MM7600,134600,"Seattle-Bellevue, WA HUD Metro FMR Area",King County,27200,31050,34950,38800,41950,45050,48150,51250,
WA,Kitsap County,5303599999,53,35,1,METRO14740M14740,102500,"Bremerton-Silverdale, WA MSA",Kitsap County,21600,24700,27800,30850,33350,35800,38300,40750,
WA,Kittitas County,5303799999,53,37,0,NCNTY53037N53037,85800,"Kittitas County, WA",Kittitas County,17850,20400,22950,25500,27550,29600,31650,33700,
WA,Klickitat County,5303999999,53,39,0,NCNTY53039N53039,74500,"Klickitat County, WA",Klickitat County,16600,18950,21300,23650,25550,27450,29350,31250,
WA,Lewis County,5304199999,53,41,0,NCNTY53041N53041,79200,"Lewis County, WA",Lewis County,16600,18950,21300,23650,25550,27450,29350,31250,
WA,Lincoln County,5304399999,53,43,0,NCNTY53043N53043,69300,"Lincoln County, WA",Lincoln County,16600,18950,21300,23650,25550,27450,29350,31250,
WA,Mason County,5304599999,53,45,0,NCNTY53045N53045,77200,"Mason County, WA",Mason County,16600,18950,21300,23650,25550,27450,29350,31250,
WA,Okanogan County,5304799999,53,47,0,NCNTY53047N53047,60800,"Okanogan County, WA",Okanogan County,16600,18950,21300,23650,25550,27450,29350,31250,
WA,Pacific County,5304999999,53,49,0,NCNTY53049N53049,68200,"Pacific County, WA",Pacific County,16600,18950,21300,23650,25550,27450,29350,31250,
WA,Pend Oreille County,5305199999,53,51,0,NCNTY53051N53051,66900,"Pend Oreille County, WA",Pend Oreille County,16600,18950,21300,23650,25550,27450,29350,31250,
WA,Pierce County,5305399999,53,53,1,METRO42660MM8200,101800,"Tacoma, WA HUD Metro FMR Area",Pierce County,21350,24400,27450,30450,32900,35350,37800,40200,
WA,San Juan County,5305599999,53,55,0,NCNTY53055N53055,89600,"San Juan County, WA",San Juan County,18350,20950,23550,26150,28250,30350,32450,34550,
WA,Skagit County,5305799999,53,57,1,METRO34580M34580,86100,"Mount Vernon-Anacortes, WA MSA",Skagit County,18100,20700,23300,25850,27950,30000,32100,34150,
WA,Skamania County,5305999999,53,59,1,METRO38900M38900,106500,"Portland-Vancouver-Hillsboro, OR-WA MSA",Skamania County,22400,25600,28800,31950,34550,37100,39650,42200,
WA,Snohomish County,5306199999,53,61,1,METRO42660MM7600,134600,"Seattle-Bellevue, WA HUD Metro FMR Area",Snohomish County,27200,31050,34950,38800,41950,45050,48150,51250,
WA,Spokane County,5306399999,53,63,1,METRO44060M44060,84100,"Spokane, WA HUD Metro FMR Area",Spokane County,17700,20200,22750,25250,27300,29300,31350,33350,
